_condition_signature,Adsorbent,Pollutant,Capacity,oof_prediction,oof_absolute_error,oob_predicted_risk,fold,rf_tree_std,nn_distance_mean,local_label_std,nearest_source_label_gap,domain_target_probability,log_target_source_odds,unsupported_flag,absolute_prediction
14471689904737011072,NaOH-activated SCW biochars,NPX,192.0140311,189.0966087219298,2.9174223780701993,6.229927342117979,4,5.646079137201854,1.4694963314082088,50.15853115010674,2.716006278070182,0.7089598780492609,0.8903378016507643,0.0,189.0966087219298
8851402207740138500,NaOH-activated SCW biochars,NPX,193.8653434,189.0966087219298,4.768734678070189,8.892552120641204,4,5.646079137201854,1.5601316466215818,47.00916802677743,3.78478637807018,0.7143786440769999,0.9167461322956036,0.0,189.0966087219298
15491832941608328458,NaOH-activated SCW biochars,NPX,192.8813951,191.28395906533186,1.597436034668135,10.259112529229991,2,5.300885724299541,1.8200363761619927,47.15963798081834,2.5813843346681438,0.7670598585283426,1.1917833237267286,0.0,191.28395906533186
18394898568978983294,NaOH-activated SCW biochars,DCF,84.7324625,93.78200510130083,9.049542601300828,4.9973458014589855,4,5.453945313775395,0.9239947786192225,32.54329144134587,1.256392021300826,0.645297450044408,0.5984318225499228,1.0,93.78200510130083
6092783274922072069,NaOH-activated SCW biochars,DCF,93.32551195,91.97009842014573,1.3554135298542747,3.9922480299677217,2,5.054788764585533,0.9490095023143772,4.819296895754087,4.743535180145727,0.570957574447724,0.28575909835421015,1.0,91.97009842014573
16940609377718848897,NaOH-activated SCW biochars,DCF,97.76236724,92.05446212021886,5.707905119781145,6.244583926333561,2,4.427993203868085,1.1094568907195383,31.716436327054172,1.3909704697811378,0.5324509441583634,0.12998649418835984,1.0,92.05446212021886
16669601217074663099,NaOH-activated SCW biochars,DCF,91.17129647,97.1372043234388,5.965907853438793,6.0798106811697235,4,3.4288934108362965,1.1123143470727022,31.11180265068967,0.8209699334387892,0.464592683302523,-0.14186672501344172,1.0,97.1372043234388
1754411915273910336,NaOH-activated SCW biochars,DCF,102.8983275,92.06682970842932,10.83149779157067,5.335563277458317,3,3.316691675449535,1.1208027240101572,31.697656698824208,1.1059635384293216,0.4813861198419726,-0.07448994538335217,1.0,92.06682970842932
10391467034744232490,NaOH-activated SCW biochars,DCF,89.04089705,97.7691021862506,8.728205136250608,5.06565617090639,1,2.6251752959312133,1.299496427405441,41.2185277625437,1.1402893937493985,0.3636208682861568,-0.5596827505960044,1.0,97.7691021862506
319468021867760320,NaOH-activated SCW biochars,DCF,93.63013996,86.91951546696153,6.710624493038466,3.267004056838612,3,2.80349885876276,0.9614769199256367,5.091054901894514,2.187052966961531,0.21390536772587093,-1.3015434721462653,1.0,86.91951546696153
6123685197643967073,NaOH-activated SCW biochars,DCF,87.22656324,92.19523471422379,4.9686714742237825,2.8696952445715804,2,2.3844605006130517,0.9147336011115555,3.8671129164886193,1.1302772357762194,0.17462268210554757,-1.5532130928687853,1.0,92.19523471422379
7623663256071977511,NaOH-activated SCW biochars,DCF,93.44543259,93.60956937816955,0.16413678816955724,3.59463980787574,3,2.9745182160651473,0.9532752708472076,2.8905918709705674,0.7458994681695543,0.16648770023443246,-1.6107270246233738,1.0,93.60956937816955
16119625099739637523,NaOH-activated SCW biochars,DCF,96.31623439,93.2697589937651,3.0464753962349107,2.8650976026127393,2,4.222582732223285,0.9532752708472092,4.584702626695497,0.35796857376509195,0.11776574533672399,-2.013760173283429,1.0,93.2697589937651
7488030854535663797,NaOH-activated SCW biochars,DCF,90.96086617,97.17004113865124,6.20917496865124,2.441380722217754,2,3.899848600687768,0.9581688779268823,4.115573451393857,0.2747768786512381,0.09884929299566227,-2.21007611270011,1.0,97.17004113865124
11289930013542957136,NaOH-activated SCW biochars,DCF,98.90939158,93.23926558456404,5.670125995435967,7.305000161499157,5,3.025874352331995,1.244766192298271,31.8262201905842,4.19836853456404,0.1050157593407677,-2.1426956820628593,1.0,93.23926558456404
17744247659109149025,NaOH-activated SCW biochars,DCF,85.72026179,92.36461140619187,6.6443496161918745,3.9964533895766574,4,2.9527401085155685,1.2526717355714283,8.77049938258533,1.2655285538081245,0.03910860889883867,-3.201518766842453,1.0,92.36461140619187
5681782559771866676,NaOH-activated SCW biochars,DCF,92.3968578,90.31149139342861,2.0853664065713957,3.6906073457303004,5,3.202374180350234,1.125083816763724,6.901350488709596,3.0849281534286064,0.04092602861835154,-3.154201948608041,1.0,90.31149139342861
3639308252509468722,NaOH-activated SCW biochars,DCF,92.86366991,92.57401581793445,0.2896540920655468,3.5121645889061424,2,2.888779084404329,1.1134789089298227,3.9518378043966322,0.8714167720655439,0.02529417779678053,-3.6515614620129346,1.0,92.57401581793445
13736103110504564049,NaOH-activated SCW biochars,DCF,92.91179042,93.68796577362123,0.7761753536212268,3.37161823433069,2,3.8477496636527633,1.113478908929825,3.8700871424496226,2.628268616378776,0.0251905124204237,-3.655774622177292,1.0,93.68796577362123
