Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,2.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,17931166249636784485,3,4.568671964,4.568671963666667,0.47294740850000005,4.095724555,5.041619372,0.9458948170000001,1.451759364
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,3.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,7906523010888670204,3,5.807794173,5.839324000666667,0.14448781996745222,5.713204692,5.996973137,0.28376844500000065,2.303064699
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,5.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,14688820173526291166,3,7.623912221,7.655442048,0.8990148459183493,6.772606886,8.569807037,1.7972001510000002,4.085130533
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,7.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,17768144420512728563,2,8.6360196745,8.6360196745,0.33442432004850736,8.39954597,8.872493379,0.47294740899999965,5.9636776395
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,0.5,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,8579724259648889229,3,2.887395201,2.815119977,0.19122226865548697,2.598294305,2.959670425,0.3613761200000001,0.153512576
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,2.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,18256237374311260226,3,7.292570107,7.244386624333333,0.15045287640459867,7.075744435,7.364845331,0.2891008959999999,1.124891587
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,3.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,3861496676312990239,2,9.37409656,9.37409656,0.15331890300652928,9.265683724,9.482509396,0.2168256719999988,1.875108413
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,5.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,4816457085212577481,3,12.48915872,12.5373422,0.1504528776856234,12.41688349,12.70598439,0.28910089999999933,3.501300954
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,7.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,16646435081185513064,3,15.13443192,15.15852366,0.6869315534186843,14.4839549,15.85718416,1.3732292599999987,5.18386817
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,720,0.5,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,13882004842441325747,2,3.1583629894999996,3.1583629894999996,0.20969951985353838,3.010083037,3.306642942,0.29655990500000007,0.1209964415
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,720,2.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,3195573885445634352,3,8.096085409,8.096085408999999,0.2965599049999996,7.799525504,8.392645314,0.5931198099999992,1.028469751
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,720,3.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,16685056413505612305,2,11.38790036,11.38790036,0.8387980794141535,10.79478055,11.98102017,1.1862396200000003,1.6334519575
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,720,5.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,12615330013127249511,3,18.26809015,17.972444640000003,0.5144505363359606,17.37841044,18.27083333,0.8924228899999989,2.807829181
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,720,7.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,12897520793021774794,2,23.962040334999998,23.962040334999998,0.41939903970707737,23.66548043,24.25860024,0.593119810000001,4.1245551605
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,720,0.5,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,16535772593130774120,3,3.811629153,3.811629153,0.0669882100000001,3.744640943,3.878617363,0.1339764200000002,0.042604502
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,720,2.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,12243699223279693851,3,11.82341908,11.979724903333334,0.33044499308624126,11.75643087,12.35932476,0.6028938899999989,0.581189711
