Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1448,7.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,3433976993469835110,1,10.51607903,10.51607903,0.0,10.51607903,10.51607903,0.0,6.474196048,5816634109929626067
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1449,10.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,15086426207809694397,1,13.98171507,13.98171507,0.0,13.98171507,13.98171507,0.0,9.300914247,12133157817765768758
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1450,1.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,16176577950961726893,1,0.276469757,0.276469757,0.0,0.276469757,0.276469757,0.0,0.986176512,4491432082561172758
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1451,3.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,10757845888731953425,1,3.882314477,3.882314477,0.0,3.882314477,3.882314477,0.0,2.805884276,2489464476551790602
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1452,5.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,14642826718609984852,1,7.44157097,7.44157097,0.0,7.44157097,7.44157097,0.0,4.627921451,14298058040118082081
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1453,7.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,7437260343620301219,1,10.38490383,10.38490383,0.0,10.38490383,10.38490383,0.0,6.480754808,12841843127821680532
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1454,10.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,11023639466359262375,1,14.07480272,14.07480272,0.0,14.07480272,14.07480272,0.0,9.296259864,13346721749916940856
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1440,1.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,3597310176462258357,1,0.583543563,0.583543563,0.0,0.583543563,0.583543563,0.0,0.970822822,7765047829599972158
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1441,3.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,7904152821749908962,1,4.418922683,4.418922683,0.0,4.418922683,4.418922683,0.0,2.779053866,9198546269028867007
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1442,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,6404022829139725021,1,8.008088962,8.008088962,0.0,8.008088962,8.008088962,0.0,4.599595552,15754275174472501518
