Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.025,0,Secondary effluent,Single,16755461862370840366,3,18.38244058,18.36476039,1.3345300647425589,17.02147807,19.69036252,2.66888445,27.24263391,14460135710331119362
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.05,0,Secondary effluent,Single,6288762701156006317,3,17.29507799,17.469630106666667,0.5124968379394208,17.06721067,18.04660166,0.9793909899999989,27.4057383,13386038250827251893
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.075,0,Secondary effluent,Single,2461942620734296822,3,18.3312792,18.16668171666667,0.5978060575662277,17.50382046,18.66494549,1.161125030000001,27.25030812,9212115034082343674
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.1,0,Secondary effluent,Single,14915493390938448242,3,17.59235683,17.80295215,0.49104907452226076,17.45232613,18.36417349,0.9118473599999994,27.36114648,17015321267674426022
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.125,0,Secondary effluent,Single,14561758705567463404,3,16.04739171,16.593933173333333,1.2380267270163239,15.7232286,18.01117921,2.287950610000001,27.59289124,1932061066828123752
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,15,0.0,0,Secondary effluent,Single,14527147495807567373,3,17.10889887,16.931669993333333,0.42604304918026215,16.44561987,17.24049124,0.7948713699999992,27.43366517,4509242028306365109
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,35,0.0,0,Secondary effluent,Single,18242488890160064085,3,18.50934797,17.819566419999997,1.2411421893482864,16.38674872,18.56260257,2.1758538499999993,27.2235978,14202409225814708589
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,7,160,0.05,0.15,15,0.0,0,Secondary effluent,Single,9217257676294177556,3,18.40713328,18.411025133333336,0.25789629508740186,18.15509679,18.67084533,0.515748539999997,27.23893001,12564473876495876544
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,7,160,0.05,0.15,35,0.0,0,Secondary effluent,Single,6194712352110633020,3,20.02057158,19.6243956,0.7048455901846106,18.81060415,20.04201107,1.2314069200000013,26.99691426,1813780034134786232
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,7,160,0.05,0.15,15,0.0,0,Secondary effluent,Single,7086304982263032628,3,19.90873317,19.748608869999998,0.30193401899849853,19.400341,19.93675244,0.5364114399999984,27.01369002,4634105493083206112
