_input_signature,n_rows,target_unique,target_min,target_max,target_spread
4377742985042091809,3,3,19.06029413,19.50217246,0.44187833000000154
4387957623427694230,3,3,187.2347575,187.9663685,0.7316109999999867
4408982043603750659,1,1,84.26549728,84.26549728,0.0
4448723687589381179,3,1,80.0,80.0,0.0
4455110848701685405,1,1,8.911372581,8.911372581,0.0
4490330750661756965,1,1,84.17656172,84.17656172,0.0
4494402526469929530,3,3,32.76586402,35.63724864,2.8713846200000006
4518868808205230175,3,3,13.89840004,14.73778637,0.83938633
4524389091767680065,2,2,367.5555556,372.0,4.444444400000009
4524893244796007263,3,3,5.982029114,7.074168616,1.0921395019999993
4535148713564086590,3,3,7.53819146,7.950845672,0.41265421199999963
4543053897758384877,3,3,3.955597038,4.815232254,0.8596352159999996
4545727045363007368,3,3,12.04380819,12.74307277,0.6992645799999995
4566891459070429949,3,1,69.77777778,69.77777778,0.0
4574388838173876122,1,1,67.18646996,67.18646996,0.0
4583925825110961144,3,3,109.7997234,110.4110604,0.6113369999999918
4591244663461338669,3,3,146.6800263,148.0781714,1.3981450999999936
4598834392589598810,2,2,89.27649899,123.2316499,33.95515091
4600021553235445050,3,3,162.5861981,163.298682,0.7124839000000236
4601601497501002282,3,3,61.30115402,66.37257513,5.071421110000003
4638699997237969674,3,3,2.946462353,3.513999243,0.5675368900000004
4659234226800065611,3,3,16.56039561,17.04850761,0.488112000000001
4685062341137994735,3,3,148.4531924,167.5159495,19.0627571
4686674380554140105,3,1,0.0,0.0,0.0
4698714479479078593,1,1,19.87734947,19.87734947,0.0
4700898519002577649,3,3,1.72327512,1.872390304,0.149115184
4706177355981326037,1,1,15.1857729,15.1857729,0.0
4721804204376788222,3,3,9.954219313,10.09805265,0.14383333700000023
4733252306193672524,3,3,12.18296359,12.73262884,0.5496652500000003
4733785294277631876,3,1,99.4047619,99.4047619,0.0
4816457085212577481,3,3,12.41688349,12.70598439,0.28910089999999933
4822197759693870872,1,1,93.48029528,93.48029528,0.0
4845104700447170443,2,2,200.1984127,200.5952381,0.3968253999999831
4855520275444175689,3,3,71.61551895,78.75705497,7.141536020000004
4876135090601352030,1,1,11.61615371,11.61615371,0.0
4884650902774039844,1,1,14.89924318,14.89924318,0.0
4889261279964453815,3,1,34.22222222,34.22222222,0.0
4895819444019586868,3,3,11.86329721,12.05603937,0.19274215999999988
4896586367922840538,3,1,104.9603175,104.9603175,0.0
4897001784181599097,1,1,7.936658108,7.936658108,0.0
4899721569429885888,1,1,171.9164435,171.9164435,0.0
4910732537836469457,3,3,15.13954573,15.62052281,0.4809770800000006
4926417256999546223,2,2,1.265818421,1.505763786,0.23994536499999986
4926704663018204312,3,3,5.574057928,5.620091293,0.04603336499999955
4931435827792869169,1,1,141.3356576,141.3356576,0.0
4935185791825215751,3,3,193.5455536,193.5705499,0.024996299999997973
4955113764694054183,9,6,173.2751979,195.1656634,21.890465500000005
4961853403790193108,6,6,162.1743219,165.2096369,3.035314999999997
5007058798041566714,3,3,-3.173692302,-0.230390886,2.943301416
5016250197719449952,3,3,6.443440153,7.059709669,0.616269516
5019839325687096608,3,3,174.0053716,174.2914821,0.2861105000000066
5041461343230810689,3,3,17.75035759,23.38208637,5.6317287799999995
5045934070433293708,1,1,58.81354316,58.81354316,0.0
5063045211398234170,1,1,0.926541403,0.926541403,0.0
5081100663667087079,1,1,14.86529667,14.86529667,0.0
5082441950943365012,1,1,11.14137971,11.14137971,0.0
5113294100529843790,3,3,170.8240072,171.2623181,0.4383108999999763
5113528091090536490,1,1,96.89526426,96.89526426,0.0
5139731073244339061,3,3,113.8391975,114.8913954,1.052197899999996
5153969114014493471,3,2,106.1507937,106.547619,0.39682530000000327
5167056066190340216,3,3,2.875950345,3.156218502,0.2802681570000001
5173616787622213918,1,1,0.515747353,0.515747353,0.0
5188305640107864880,3,1,87.55555556,87.55555556,0.0
5202510071170023157,1,1,1.03302993,1.03302993,0.0
5211249702059785790,3,3,166.7869987,167.7576491,0.9706504000000109
5217975499825798009,1,1,4.975333508,4.975333508,0.0
5227174343604349669,1,1,16.78103695,16.78103695,0.0
5234732998463637097,3,1,82.34126984,82.34126984,0.0
5243697189417312221,3,3,6.358064686,6.882746709,0.5246820230000004
5245461172282193578,3,1,0.0,0.0,0.0
5256351471210846831,3,1,93.33333333,93.33333333,0.0
5272687121662048829,2,2,19.28123057,19.92327389,0.6420433199999991
5274733365413069900,3,3,14.45701563,16.23676012,1.7797444899999988
5290555006896039165,3,3,69.24782798,86.91503319,17.667205210000006
5300177448612401242,1,1,7.785965408,7.785965408,0.0
5308418285433619053,3,3,19.21990789,19.43018153,0.21027363999999693
5352559836577404585,3,3,61.55100389,65.31376465,3.762760759999999
5353729134214559074,3,3,45.76124182,50.15044871,4.389206889999997
5356653380886760083,3,3,16.18248773,18.22831424,2.0458265100000013
5358541406901829371,3,3,57.01790046,59.72442377,2.7065233100000015
5362075308266986343,3,3,187.2880648,190.3648594,3.0767945999999995
5389074033231998554,1,1,68.08262528,68.08262528,0.0
